you,Bạn
commend,khen ngợi
cinch,thắt chặt
presses,máy in
mater,vật chất
plucked,hái
repeats,lặp lại
carriers,các hãng vận chuyển
gen,gen
omaha,Omaha
participants,người tham gia
payne,trả tiền
yawning,ngáp
conan,Conan
faraway,xa
mackerel,cá thu
loki,Loki
flakes,mảnh vụn
meyers,Meyers
raincoat,áo mưa
thereby,do đó
sewn,may
reilly,Reilly
fyi,thông tin thêm
nostalgia,nỗi nhớ
descendant,hậu duệ
hopped,nhảy
handyman,thợ sửa chữa
lagoon,đầm phá
merciless,tàn nhẫn
bouncer,người bảo vệ
speck,chấm nhỏ
lifeless,không có sự sống
westminster,Westminster
donner,người cho
lancelot,Lancelot
anarchist,người theo chủ nghĩa vô chính phủ
amish,người Amish
ophelia,ophelia
mart,cửa hàng tiện lợi
sympathize,đồng cảm
croft,nông trại
susanna,Susanna
sneaked,lén lút
shiver,run rẩy
pointy,nhọn
tod,hôm nay
fad,ham mê
dwelling,nhà ở
decipher,giải mã
acre,mẫu Anh
animated,hoạt hình
predictions,dự đoán
ehh,ehh
penetration,sự thâm nhập
queenie,nữ hoàng
tampering,can thiệp
suk,suk
unsafe,không an toàn
conned,bị lừa đảo
merrick,merrick
contractions,co thắt
chaperone,người giám hộ
clipped,cắt
masha,Masha
ap,ứng dụng
singular,số ít
loathe,không ưa
manipulative,thao túng
outraged,phẫn nộ
lurch,sự chao đảo
ultimatum,tối hậu thư
delegate,đại biểu
pedophile,ấu dâm
directive,chỉ thị
pleaded,biện hộ
reducing,giảm
hurtful,gây tổn thương
latino,người Latinh
wick,tim
smoothie,sinh tố
traumatized,bị tổn thương tâm lý
short-term,ngắn hạn
thermometer,nhiệt kế
vines,dây leo
fugitives,những kẻ chạy trốn
persona,nhân vật
channing,thay đổi
herbie,herbie
aargh,Ái chà
marcello,Marcello
pritchard,Pritchard
ist,là
taping,ghi âm
arkansas,Arkansas
norfolk,Norfolk
yamamoto,yamamoto
congressional,quốc hội
askin,hỏi
haze,sương mù
macau,Macau
bazaar,chợ
enabled,đã bật
deserts,sa mạc
steiner,Steiner
eloped,bỏ trốn
mutilated,bị cắt xén
walnut,quả óc chó
excite,kích thích
pegasus,ngựa thần Pegasus
swallowing,nuốt
plutonium,plutonium
doomsday,ngày tận thế
coworkers,đồng nghiệp
talia,Talia
moriarty,moriarty
cycling,đạp xe
one-man,một người đàn ông
cougar,báo gấm
guillaume,Guillaume
spaniards,người Tây Ban Nha
asparagus,măng tây
quagmire,đầm lầy
thorpe,Thorpe
donnelly,donnelly
nathalie,Nathalie
centauri,nhân mã
sims,sims
blasphemy,sự báng bổ
rents,tiền thuê nhà
continually,liên tục
nu,nu
newlyweds,cặp vợ chồng mới cưới
huddle,tụm lại
adolescent,thanh niên
3-d,3-d
crescent,hình lưỡi liềm
loch,hồ
saddest,buồn nhất
gustavo,gustavo
bleeds,chảy máu
giulia,Giulia
turnout,tỷ lệ tham gia
nudity,khỏa thân
alternatives,các lựa chọn thay thế
intoxication,say xỉn
doves,chim bồ câu
interstate,liên bang
spokesman,người phát ngôn
itinerary,lịch trình
slipper,dép
monsoon,gió mùa
unfold,mở ra
appetizers,món khai vị
scripture,Kinh thánh
relaxation,thư giãn
pox,bệnh đậu mùa
pilar,trụ
rabid,điên cuồng
cackles,tiếng cười khúc khích
kiddies,trẻ em
lovable,đáng yêu
termination,chấm dứt
coy,e lệ
eyelids,mí mắt
high-speed,tốc độ cao
motorcycles,xe máy
insufficient,không đủ
ceremonial,nghi lễ
malt,mạch nha
leaned,nghiêng
muller,Muller
soames,một số
hectic,bận rộn
sudan,Sudan
nba,NBA
owls,cú
displays,màn hình
brewery,nhà máy bia
primal,ban sơ
narrowed,thu hẹp
bidder,người đấu thầu
dipped,nhúng
dormant,nằm im
asher,Asher
diagnostic,chẩn đoán
galen,galen
selfridge,tự sườn núi
breathtaking,ngoạn mục
saber,kiếm
specials,đặc biệt
xo,xo
apt,căn hộ
winnings,tiền thắng cược
embracing,ôm lấy
louvre,Louvre
homosexuality,đồng tính luyến ái
georg,George
solace,sự an ủi
gladiator,đấu sĩ
chapters,chương
foxy,cáo
whinnying,tiếng hí
scuba,lặn biển
lui,lui
kessler,kessler
deprive,tước đoạt
reckons,tính toán
fender,chắn bùn
mags,tạp chí
damsel,thiếu nữ
brah,anh bạn
cannibal,kẻ ăn thịt người
chilled,ướp lạnh
leopold,Leopold
milwaukee,Milwaukee
supplying,cung cấp
rightfully,một cách chính đáng
vandalism,phá hoại
atleast,ít nhất
shrinking,thu nhỏ
reginald,Reginald
robotic,robot
rolf,rolf
krauts,dưa cải bắp
hiro,hiro
karim,Karim
pj,pj
garibaldi,garibaldi
ragged,rách rưới
hoyt,Hoyt
top-secret,tuyệt mật
roma,Roma
surplus,thặng dư
judo,judo
doctrine,học thuyết
accessible,có thể truy cập
crazed,điên cuồng
audi,Audi
purposely,cố ý
sleet,mưa tuyết
yugoslavia,Nam Tư
ostrich,đà điểu
no-no,không không
gunning,bắn súng
estelle,estelle
oversee,giám sát
atrocities,sự tàn bạo
landmark,cột mốc
holdings,tài sản nắm giữ
generators,máy phát điện
cheerio,tạm biệt
unimaginable,không thể tưởng tượng nổi
stimulate,kích thích
incriminating,buộc tội
jap,tiếng Nhật
clangs,tiếng vang
fanatic,cuồng tín
surreal,siêu thực
sewage,nước thải
dehydrated,mất nước
acoustic,âm học
ante,tiền đặt cược
afloat,nổi trên mặt nước
kapoor,kapoor
genevieve,Genevieve
charisma,sức hút
sadistic,tàn bạo
zeo,không
iconic,mang tính biểu tượng
enormously,vô cùng
constructive,mang tính xây dựng
elk,nai sừng tấm
exhaling,thở ra
admissions,tuyển sinh
inexperienced,thiếu kinh nghiệm
misjudged,đánh giá sai
mast,cột buồm
clubhouse,nhà câu lạc bộ
meade,rượu meade
illustrious,lừng lẫy
prepping,chuẩn bị
declaring,tuyên bố
nucleus,nhân
whomever,bất cứ ai
councillor,ủy viên hội đồng
curls,lọn tóc
camden,Camden
cowl,mũ trùm đầu
townsend,thị trấn
unsure,không chắc chắn
mag,tạp chí
colton,Colton
prentiss,prentiss
costello,costello
henrietta,Henrietta
cures,chữa bệnh
marla,marla
swanson,thiên nga
autographs,chữ ký
borderline,ranh giới
provocation,sự khiêu khích
perverse,biến thái
nutrients,chất dinh dưỡng
occult,huyền bí
cadets,học viên
socket,ổ cắm
shawl,khăn choàng
mio,triệu
markham,Markham
framing,khung
junkyard,bãi phế liệu
cabot,Cabot
twitch,tốc độ
influences,ảnh hưởng
browning,sự chuyển sang màu nâu
jfk,jfk
upward,hướng lên trên
cooped,bị nhốt
rooted,bám rễ
deserving,xứng đáng
goro,goro
dost,bạn thân mến
burps,ợ hơi
ludicrous,lố bịch
demonstrations,các cuộc biểu tình
biography,tiểu sử
cy,cy
concludes,kết luận
retreating,rút lui
satin,vải satin
bridesmaid,phù dâu
penicillin,penicillin
murmur,tiếng thì thầm
martinis,martini
deployment,triển khai
pence,đồng xu
predecessor,tiền nhiệm
feeny,phí
canon,chính thống
tian,Thiên
underlying,cơ bản
avon,avon
accessed,đã truy cập
blowjob,quan hệ tình dục bằng miệng
ashton,Ashton
transfusion,truyền máu
blockade,phong tỏa
mischievous,tinh nghịch
doreen,Doreen
jiffy,nhanh chóng
repressed,bị đàn áp
driscoll,Driscoll
kaplan,Kaplan
showered,tắm
biff,thoi
yarn,sợi
astonished,kinh ngạc
catchy,dễ nhớ
titanium,titan
maguire,maguire
deserter,kẻ đào ngũ
dah,dah
documentation,tài liệu
guineas,đồng guinea
hotch,hotch
explored,đã khám phá
bom,bom
dunham,Dunham
playoffs,vòng loại trực tiếp
faraday,Faraday
feisty,mạnh mẽ
explorers,nhà thám hiểm
blanca,trắng
imam,imam
plainly,rõ ràng
federico,Federico
theaters,rạp chiếu phim
inadequate,không đủ
caddy,người khuân vác
astounding,kinh ngạc
highlands,vùng cao nguyên
hustler,kẻ lừa đảo
clans,các gia tộc
paternity,cha
washer,máy giặt
borne,sinh ra
gilles,mang
disclosure,tiết lộ
negotiated,đàm phán
attracting,thu hút
andie,andie
indigestion,khó tiêu
spur,thúc đẩy
cabe,cabe
mayer,thị trưởng
schnapps,rượu mạnh
hagen,hagen
renegade,kẻ phản bội
barley,lúa mạch
koji,koji
spiked,tăng đột biến
complains,phàn nàn
repairing,sửa chữa
cheapest,rẻ nhất
foxes,cáo
barf,nôn mửa
sox,tất
magicians,ảo thuật gia
inquest,cuộc điều tra
humidity,độ ẩm
featured,nổi bật
keiko,keiko
midwest,miền trung tây
reptile,bò sát
priscilla,Priscilla
mythical,thần thoại
paramount,tối quan trọng
bitching,than phiền
unpaid,chưa thanh toán
neatly,gọn gàng
abbie,Abbie
volvo,Volvo
hippo,hà mã
smacked,đánh
smokin,hút thuốc
brigitte,Brigitte
dodger,tinh ranh
fallin,rơi xuống
rigby,rigby
shepherds,người chăn cừu
swamped,ngập lụt
hailey,Hailey
prepped,đã chuẩn bị
frivolous,phù phiếm
copyright,bản quyền
twenty-two,hai mươi hai
witnessing,chứng kiến
duly,đúng cách
glide,trượt
enclosed,gửi kèm
fai,fai
nameless,không tên
rai,tia lửa
armando,armando
electrons,electron
constellation,chòm sao
howe,cách
inhabited,có người sinh sống
sketchy,sơ sài
implore,cầu xin
malice,ác ý
no-good,vô dụng
agreements,thỏa thuận
johanna,Johanna
deformed,biến dạng
billing,lập hóa đơn
cornwall,Cornwall
crusher,máy nghiền
strains,các chủng
orchids,hoa lan
riker,riker
outdated,lỗi thời
reinforced,được gia cố
yamada,yamada
newark,Newark
trainers,huấn luyện viên
janis,Janis
provocative,khiêu khích
hemingway,Hemingway
ci,ci
complimentary,miễn phí
bethlehem,Bethlehem
suppressed,bị đàn áp
bordeaux,rượu vang đỏ Bordeaux
goodies,đồ ngon
geeks,những người đam mê công nghệ
festivities,lễ hội
checkers,cờ caro
migration,di cư
brig,nhà tù
bloodstream,máu
distraught,đau khổ
grasshopper,châu chấu
ashok,ashok
hardships,khó khăn
tickling,cù lét
desolate,hoang vắng
masturbation,thủ dâm
fiasco,thất bại
jem,viên ngọc
rudi,rudi
sufficiently,đủ
hereditary,di truyền
psychologically,về mặt tâm lý
orient,hướng
gullible,cả tin
falsely,sai
friar,tu sĩ
underwood,Underwood
abed,giường ngủ
full-on,hoàn toàn
gunpoint,chĩa súng vào đầu
jiro,jiro
luo,luo
vern,rượu vang
realtor,môi giới bất động sản
attire,trang phục
clientele,khách hàng
passages,đoạn văn
dreaded,đáng sợ
hatched,nở
hardened,cứng lại
navid,Navid
innovative,đổi mới
kroner,kroner
patched,vá lỗi
guidelines,hướng dẫn
juices,nước ép
lockup,nhà giam
delgado,delgado
slopes,độ dốc
conclusive,kết luận
latex,mủ cao su
chennai,Chennai
rey,Rey
deathbed,giường bệnh lúc hấp hối
collapses,sụp đổ
schoolgirl,nữ sinh
fuzz,lông tơ
imposing,ấn tượng
settings,cài đặt
nationwide,trên toàn quốc
schoolteacher,giáo viên trường học
dealership,đại lý
kei,kei
hearings,phiên điều trần
negotiator,người đàm phán
drills,các bài tập
brightly,sáng sủa
dames,quý bà
neutralize,trung hòa
rosario,hoa hồng
ninjas,ninja
manicure,làm móng tay
meditate,thiền định
eavesdropping,nghe lén
viewer,người xem
mormon,người Mormon
wake-up,thức dậy
dipping,nhúng
splits,chia đôi
muzzle,mõm
redneck,nhà quê
seatbelt,dây an toàn
richter,độ cao
atone,chuộc tội
envoy,sứ giả
sentiments,cảm xúc
poorer,nghèo hơn
tia,tia
sweeps,quét
forgives,tha thứ
upside-down,lộn ngược
improper,không đúng
niagara,sông Niagara
highland,vùng cao nguyên
hardworking,chăm chỉ
enlist,nhập ngũ
wilcox,wilcox
medically,về mặt y tế
chittering,tiếng kêu chíp chíp
pappy,bố
scarred,sẹo
claps,vỗ tay
gia,gia
outcast,kẻ bị ruồng bỏ
faucet,vòi nước
prepares,chuẩn bị
taboo,điều cấm kỵ
weaponry,vũ khí
consensus,sự đồng thuận
breathed,thở
maneuvers,các cuộc diễn tập
archaeologist,nhà khảo cổ học
tolls,phí cầu đường
gobble,nuốt chửng
gibbering,nói lảm nhảm
maud,maud
darby,Darby
hernandez,Hernandez
smitty,smitty
rica,rica
widespread,phổ biến
scraped,cạo
boutique,cửa hàng thời trang
quake,động đất
ignite,đốt cháy
provider,nhà cung cấp
sprinkle,rắc
serbia,Serbia
contradict,mâu thuẫn
realities,thực tế
valentina,valentina
shaping,tạo hình
powdered,bột
indestructible,bất khả phá hủy
electrocuted,bị điện giật
silverware,đồ bạc
disorders,rối loạn
everytime,mỗi lần
terence,Terence
albany,Albany
armory,kho vũ khí
delegates,đại biểu
pathology,bệnh lý
inspires,truyền cảm hứng
poked,chọc
scumbags,lũ khốn nạn
cyclops,người khổng lồ một mắt
floated,nổi
intrigue,âm mưu
auditorium,hội trường
kashmir,Kashmir
inspirational,truyền cảm hứng
doodle,hình vẽ nguệch ngoạc
raisins,nho khô
sibling,anh em ruột
emery,đá mài
anomalies,dị thường
forrester,nhà thờ
honorary,danh dự
concession,nhượng quyền
midway,giữa chừng
reload,tải lại
sweaters,áo len
dormitory,ký túc xá
accelerated,tăng tốc
fluke,sự may mắn
larkin,larkin
dwarves,người lùn
nutrition,dinh dưỡng
kendra,Kendra
warlock,phù thủy
exploiting,khai thác
bloated,đầy hơi
proclaim,tuyên bố
middleton,Middleton
choreography,biên đạo múa
patriotism,lòng yêu nước
sash,dải băng
detached,tách rời
niki,niki
fest,lễ hội
intensely,mãnh liệt
raced,đua
sprint,chạy nước rút
endorsement,sự chứng thực
gage,thước đo
carlisle,Carlisle
hobo,đi lang thang
gauntlet,găng tay
crowbar,xà beng
progressing,đang tiến triển
groin,háng
prudence,sự thận trọng
inseparable,không thể tách rời
chopsticks,đũa
guthrie,Guthrie
foo,foo
cavanaugh,Cavanaugh
saxophone,kèn saxophone
fiat,tiền pháp định
drains,cống
thrusters,động cơ đẩy
tink,tink
visibility,khả năng hiển thị
passionately,đầy nhiệt huyết
wannabe,kẻ muốn trở thành
klara,klara
tiresome,mệt mỏi
complexity,độ phức tạp
homicidal,giết người
succeeds,thành công
rom,rom
scolding,mắng mỏ
indicted,bị truy tố
prix,giá
alexa,Alexa
uninvited,không được mời
insider,người trong cuộc
kamal,kamal
moz,moz
bondage,sự trói buộc
chao,hỗn loạn
taser,súng điện
indifference,sự thờ ơ
tum,khối u
slang,tiếng lóng
tending,chăm sóc
compton,Compton
gunn,súng
campaigns,chiến dịch
resistant,kháng cự
baines,baines
urged,thúc giục
reacts,phản ứng
hardworking,chăm chỉ
snag,vướng mắc
fidelity,lòng trung thành
mcnally,McNally
rattled,rung lắc
stalls,gian hàng
quickest,nhanh nhất
copycat,kẻ bắt chước
wilde,hoang dã
damnation,sự trừng phạt
burma,Miến Điện
cashed,đã đổi tiền
dodging,né tránh
canopy,tán cây
ridley,ridley
ilana,Ilana
ogden,ogden
goof,lỗi
twister,lốc xoáy
rolex,đồng hồ rolex
seriousness,mức độ nghiêm trọng
toothless,không răng
reckoned,tính toán
macdonald,Macdonald
retching,nôn mửa
immensely,vô cùng
overlooking,nhìn ra
airway,khí đạo
lm,lm
rickshaw,xe kéo
esposito,esposito
propulsion,lực đẩy
elsie,Elsie
butchered,bị giết mổ
orbiting,quay quanh
herds,đàn gia súc
comprehensive,toàn diện
reckoning,tính toán
shelton,Shelton
israelis,người Israel
thursdays,thứ năm
fabian,Fabian
journeys,những chuyến đi
confiscate,tịch thu
coworkers,đồng nghiệp
checkup,kiểm tra
wad,cuộn giấy
aeroplane,máy bay
innocents,những người vô tội
endeavor,nỗ lực
shootings,vụ xả súng
daybreak,bình minh
mandate,nhiệm vụ
estimates,ước tính
inflict,gây ra
drapes,rèm cửa
bellamy,bellamy
wolverine,chồn sói
socrates,Socrates
subspace,không gian con
notebooks,sổ tay
unrest,bất ổn
annika,Annika
shiro,shiro
lala,lala
cram,nhồi nhét
salts,muối
infinitely,vô hạn
exemplary,mẫu mực
bearings,ổ bi
replicate,sao chép
perfected,hoàn thiện
cao,cao
olympus,Olympus
baboon,khỉ đầu chó
reproach,sự khiển trách
completing,hoàn thành
medusa,sứa
sewed,may
teased,trêu chọc
karev,karev
adversary,kẻ thù
captions,chú thích
stitched,khâu
abruptly,đột ngột
stacks,chồng
sioux,người Sioux
rapes,hiếp dâm
ether,ete
hoodie,áo hoodie
namaste,namaste
extradition,dẫn độ
vincenzo,Vincenzo
ange,thiên thần
cambodia,Campuchia
clicked,đã nhấp chuột
tallest,cao nhất
jeb,jeb
unison,đồng thanh
ion,ion
bozo,thằng ngốc
undertaking,thực hiện
relating,liên quan
enrolled,đã đăng ký
sprouts,mầm
secretaries,thư ký
projected,dự kiến
turkeys,gà tây
irwin,irwin
fink,kẻ lừa đảo
good-for-nothing,vô dụng
sipping,nhấp từng ngụm
africans,người châu Phi
macarthur,macarthur
twenty-one,hai mươi mốt
visionary,người có tầm nhìn
borden,borden
talkative,nói nhiều
alyssa,Alyssa
sie,sie
kemp,kemp
jeffries,Jeffries
unkind,không tử tế
pegged,đóng cọc
conservation,bảo tồn
veto,quyền phủ quyết
blondes,tóc vàng
heartfelt,chân thành
outlook,triển vọng
wrinkled,nhăn
valeria,valeria
teleport,dịch chuyển tức thời
interrogating,thẩm vấn
diabolical,quỷ quyệt
breather,thở
desks,bàn làm việc
thirty-five,ba mươi lăm
eyebrow,lông mày
tut,hướng dẫn
sightseeing,tham quan
unwilling,không muốn
profoundly,sâu sắc
barclay,barclay
dearie,người yêu dấu
dae,dae
nearing,gần
hester,Hester
franks,xúc xích
rashid,rashid
auditioning,thử giọng
dyed,nhuộm
pharmaceuticals,dược phẩm
cantonese,tiếng Quảng Đông
pika,pika
